Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB(theoretical)
39500000000,39.5,4.4,1.6,2.309466833,0.912622324,2.102721519,0.595049598,3.257044593,0.000969285,0.000462685,349.1690836,3.058974983,0.52568038,10.51262232,11.90946683,-2.504803717
40000000000,40,4.4,1.6,2.280598497,0.890168843,2.077432952,0.593632055,3.253923958,0.000969285,0.00046228,349.2678996,3.058974983,0.519358238,10.49016884,11.8805985,-2.504085191
40500000000,40.5,4.4,1.6,2.25244296,0.868301512,2.052753834,0.592226161,3.250855189,0.000969285,0.000461881,349.3652788,3.058974983,0.513188459,10.46830151,11.85244296,-2.503377518
41000000000,41,4.4,1.6,2.224974144,0.846998672,2.028662247,0.590831787,3.247836864,0.000969285,0.000461488,349.4612569,3.058974983,0.507165562,10.44699867,11.82497414,-2.502680422
41500000000,41.5,4.4,1.6,2.198167226,0.826239702,2.005137314,0.589448806,3.244867617,0.000969285,0.000461101,349.555868,3.058974983,0.501284328,10.4262397,11.79816723,-2.501993636
42000000000,42,4.4,1.6,2.171998569,0.806004961,1.982159141,0.58807709,3.241946131,0.000969285,0.000460719,349.6491453,3.058974983,0.495539785,10.40600496,11.77199857,-2.501316904
42500000000,42.5,4.4,1.6,2.146445645,0.786275727,1.959708759,0.586716516,3.239071141,0.000969285,0.000460343,349.7411208,3.058974983,0.48992719,10.38627573,11.74644564,-2.500649978
43000000000,43,4.4,1.6,2.121486974,0.76703415,1.937768069,0.585366959,3.236241426,0.000969285,0.000459973,349.8318252,3.058974983,0.484442017,10.36703415,11.72148697,-2.499992619
43500000000,43.5,4.4,1.6,2.097102067,0.748263197,1.916319793,0.584028298,3.23345581,0.000969285,0.000459607,349.9212885,3.058974983,0.479079948,10.3482632,11.69710207,-2.499344595
44000000000,44,4.4,1.6,2.073271361,0.729946606,1.895347429,0.582700412,3.230713159,0.000969285,0.000459247,350.0095396,3.058974983,0.473836857,10.32994661,11.67327136,-2.498705684
44500000000,44.5,4.4,1.6,2.049976177,0.712068847,1.874835207,0.58138318,3.228012379,0.000969285,0.000458892,350.0966062,3.058974983,0.468708802,10.31206885,11.64997618,-2.49807567
45000000000,45,4.4,1.6,2.027198664,0.694615077,1.85476805,0.580076486,3.225352417,0.000969285,0.000458541,350.1825156,3.058974983,0.463692012,10.29461508,11.62719866,-2.497454343
45500000000,45.5,4.4,1.6,2.004921756,0.677571107,1.835131533,0.578780213,3.222732255,0.000969285,0.000458196,350.2672937,3.058974983,0.458782883,10.27757111,11.60492176,-2.496841503
46000000000,46,4.4,1.6,1.983129128,0.660923362,1.815911852,0.577494245,3.220150908,0.000969285,0.000457855,350.3509658,3.058974983,0.453977963,10.26092336,11.58312913,-2.496236954
46500000000,46.5,4.4,1.6,1.961805159,0.644658851,1.797095788,0.576218469,3.21760743,0.000969285,0.000457519,350.4335566,3.058974983,0.449273947,10.24465885,11.56180516,-2.495640508
47000000000,47,4.4,1.6,1.940934891,0.628765135,1.778670678,0.574952772,3.215100902,0.000969285,0.000457187,350.5150898,3.058974983,0.44466767,10.22876514,11.54093489,-2.495051981
47500000000,47.5,4.4,1.6,1.920503998,0.613230301,1.760624385,0.573697042,3.212630439,0.000969285,0.000456859,350.5955882,3.058974983,0.440156096,10.2132303,11.520504,-2.494471196
48000000000,48,4.4,1.6,1.900498748,0.598042929,1.742945271,0.572451171,3.210195184,0.000969285,0.000456536,350.6750744,3.058974983,0.435736318,10.19804293,11.50049875,-2.493897983
48500000000,48.5,4.4,1.6,1.880905977,0.583192073,1.725622173,0.57121505,3.207794309,0.000969285,0.000456217,350.7535698,3.058974983,0.431405543,10.18319207,11.48090598,-2.493332174
49000000000,49,4.4,1.6,1.861713059,0.568667232,1.708644375,0.569988571,3.205427011,0.000969285,0.000455902,350.8310955,3.058974983,0.427161094,10.16866723,11.46171306,-2.492773609
49500000000,49.5,4.4,1.6,1.842907877,0.554458331,1.69200159,0.56877163,3.203092517,0.000969285,0.000455591,350.9076717,3.058974983,0.423000398,10.15445833,11.44290788,-2.492222132
50000000000,50,4.4,1.6,1.824478798,0.540555698,1.675683939,0.567564121,3.200790074,0.000969285,0.000455284,350.9833184,3.058974983,0.418920985,10.1405557,11.4244788,-2.491677591
50500000000,50.5,4.4,1.6,1.806414651,0.526950044,1.659681926,0.566365941,3.198518957,0.000969285,0.00045498,351.0580545,3.058974983,0.414920482,10.12695004,11.40641465,-2.491139839
51000000000,51,4.4,1.6,1.788704704,0.513632447,1.643986425,0.565176989,3.196278462,0.000969285,0.000454681,351.1318988,3.058974983,0.410996606,10.11363245,11.3887047,-2.490608734
51500000000,51.5,4.4,1.6,1.771338639,0.50059433,1.628588657,0.563997164,3.194067905,0.000969285,0.000454385,351.2048693,3.058974983,0.407147164,10.10059433,11.37133864,-2.490084137
52000000000,52,4.4,1.6,1.754306537,0.487827447,1.61348018,0.562826367,3.191886627,0.000969285,0.000454093,351.2769835,3.058974983,0.403370045,10.08782745,11.35430654,-2.489565915
52500000000,52.5,4.4,1.6,1.737598855,0.475323868,1.598652867,0.561664499,3.189733987,0.000969285,0.000453804,351.3482585,3.058974983,0.399663217,10.07532387,11.33759886,-2.489053937
53000000000,53,4.4,1.6,1.721206413,0.463075963,1.584098894,0.560511465,3.187609364,0.000969285,0.000453519,351.418711,3.058974983,0.396024723,10.06307596,11.32120641,-2.488548075
